city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
szczecin,3,77.71,3.0,3.0,3.0,1925.0,53.43301925,14.56977461,1.22,9.0,0.568,0.994,0.346,0.374,0.07,0.675,0.43,brick,0,0,0,0,0,1,"[550000, 550000, 550000, 650000, 599000, 599000, 599000]"
szczecin,3,78.6,3.0,2.0,4.0,1929.0,53.4328328,14.5481871,1.35,75.0,0.149,0.239,0.074,0.342,0.093,0.492,0.089,brick,1,0,0,0,0,1,"[440000, 440000, 440000, 440000, 440000, 440000, 440000]"
szczecin,3,100.0,3.0,4.0,4.0,1930.0,53.4364939,14.5720258,1.63,13.0,0.183,1.123,0.131,0.448,0.153,1.05,0.191,brick,1,1,0,0,0,1,"[799000, 799000, 739000, 739000, 739000, 739000, 739000]"
szczecin,2,96.06,4.0,3.0,3.0,2009.0,53.46560024,14.54153863,4.87,11.0,0.159,1.342,0.103,0.082,0.314,2.465,0.366,brick,1,0,1,0,0,0,"[768000, 768000, 799000, 799000, 799000, 799000, 799000]"
szczecin,3,42.57,2.0,1.0,1.0,1938.0,53.49568979,14.584651,8.19,4.0,1.572,1.236,0.02,0.28,0.033,3.693,0.033,brick,1,1,0,0,0,1,"[389000, 389000, 379000, 379000, 379000, 379000, 379000]"
szczecin,3,82.95,4.0,3.0,4.0,1910.0,53.4361339,14.5412255,1.93,39.0,0.069,0.327,0.28,0.093,0.184,0.037,0.389,brick,1,1,0,0,0,1,"[649000, 649000, 649000, 649000, 649000, 649000, 649000]"
szczecin,3,51.0,2.0,2.0,3.0,1950.0,53.4312995,14.5648979,0.92,16.0,0.277,0.774,0.029,0.059,0.173,0.305,0.658,brick,0,1,0,0,0,1,"[497000, 469000, 469000, 469000, 449000, 449000, 449000]"
szczecin,2,29.0,1.0,7.0,11.0,1981.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,concreteSlab,0,0,0,1,0,1,"[279000, 279000, 279000, 279000, 279000, 279000, 289000]"
szczecin,2,36.74,2.0,7.0,11.0,1980.0,53.41413627,14.54267979,1.59,4.0,0.476,0.952,0.704,0.08,0.068,0.97,0.19,concreteSlab,1,0,1,1,0,1,"[350000, 350000, 350000, 350000, 399000, 399000, 399000]"
szczecin,3,69.15,3.0,2.0,3.0,1922.0,53.4395,14.554,1.85,25.0,0.112,0.161,0.262,0.063,0.244,0.91,0.171,brick,0,0,1,0,0,1,"[399000, 399000, 389000, 379000, 379000, 379000, 379000]"
szczecin,3,103.6,3.0,3.0,3.0,1939.0,53.42850982,14.53829114,1.61,56.0,0.099,0.705,0.083,0.214,0.131,0.359,0.163,brick,1,0,1,0,0,1,"[799000, 799000, 799000, 799000, 799000, 799000, 799000]"
szczecin,3,100.5,3.0,3.0,4.0,1930.0,53.431159,14.536018,1.86,46.0,0.054,0.567,0.269,0.259,0.194,0.497,0.182,brick,0,0,1,0,0,1,"[590000, 590000, 590000, 590000, 590000, 590000, 590000]"
szczecin,2,70.0,2.0,3.0,4.0,2003.0,53.4307,14.4844,5.14,1.0,1.015,0.926,0.536,0.818,0.994,3.175,0.207,brick,1,1,1,0,0,0,"[370000, 370000, 370000, 370000, 370000, 370000, 370000]"
gdynia,2,92.0,5.0,3.0,3.0,2022.0,54.5490221,18.5321914,3.15,0.0,2.828,2.933,2.851,2.915,2.043,2.963,2.215,brick,1,1,0,1,0,0,"[1075000, 1075000, 1075000, 1075000, 1075000, 1075000, 1075000]"
krakow,1,75.0,3.0,2.0,4.0,2022.0,50.06841337,19.8952518,3.41,6.0,0.533,0.42,0.73,0.499,0.264,0.499,0.42,brick,1,1,0,1,0,1,"[1460000, 1460000, 1460000, 1460000, 1460000, 1460000, 1460000]"
krakow,1,60.83,3.0,2.0,2.0,2003.0,50.01689695,19.92591841,4.36,10.0,0.261,0.276,0.236,0.064,0.482,2.578,0.221,brick,0,1,1,0,0,1,"[960000, 960000, 960000, 960000, 960000, 960000, 960000]"
krakow,1,59.0,3.0,1.0,1.0,2005.0,50.0128786,19.9102403,5.13,3.0,0.797,0.665,0.713,0.416,0.735,3.493,0.652,brick,1,1,0,0,0,0,"[820000, 820000, 820000, 820000, 820000, 820000, 820000]"
krakow,1,69.0,3.0,12.0,13.0,2009.0,50.0723622,19.898639,3.42,16.0,0.196,0.316,0.513,0.118,0.312,0.282,0.297,brick,1,1,0,1,0,0,"[1120000, 1120000, 1120000, 1120000, 1120000, 1120000, 1120000]"
krakow,2,69.8,4.0,3.0,10.0,1985.0,50.0192,20.0031,6.12,6.0,0.326,0.767,0.387,0.163,0.62,2.021,0.382,concreteSlab,1,0,1,1,0,1,"[960000, 960000, 960000, 999000, 999000, 999000, 999000]"
krakow,1,75.0,3.0,6.0,7.0,2017.0,50.0933864,20.0064311,6.44,16.0,0.271,0.979,0.336,0.17,0.285,0.272,0.155,brick,1,1,1,1,0,0,"[1099999, 1099999, 1099999, 1099999, 1099999, 1099999, 1099999]"
krakow,2,58.32,3.0,3.0,10.0,1978.0,50.0131019,19.9686878,5.17,13.0,0.453,0.261,0.267,0.441,0.229,1.067,0.226,concreteSlab,0,1,1,1,0,1,"[499000, 499000, 599000, 630000, 699000, 699000, 699000]"
krakow,1,45.0,3.0,1.0,5.0,2022.0,50.0454919,19.99658625,4.29,6.0,0.342,0.9,0.255,0.418,0.527,1.1,0.615,brick,1,1,1,1,0,0,"[670500, 670500, 760500, 760500, 760500, 715500, 715500]"
krakow,2,89.8,4.0,4.0,5.0,1965.0,50.0723221,19.9375247,1.89,29.0,0.309,0.26,0.252,0.41,0.162,0.32,0.246,brick,1,0,0,0,0,1,"[1400000, 1400000, 1400000, 1400000, 1400000, 1400000, 1400000]"
krakow,3,80.0,3.0,2.0,2.0,1906.0,50.067786,19.95115,1.66,34.0,0.134,0.282,0.373,0.784,0.065,0.841,0.19,brick,0,0,0,0,0,1,"[1470000, 1470000, 1470000, 1470000, 1470000, 1470000, 1470000]"
krakow,1,45.0,3.0,1.0,5.0,2022.0,50.0453845,19.9921031,3.99,2.0,0.047,0.676,0.575,0.44,0.607,1.299,0.745,brick,1,1,1,1,0,0,"[670500, 670500, 670500, 670500, 760500, 760500, 760500]"
krakow,1,42.75,2.0,1.0,7.0,2021.0,50.0487044,19.9681022,2.24,19.0,0.496,0.351,0.694,0.255,0.138,1.198,0.477,brick,1,1,1,1,0,0,"[1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000]"
krakow,3,64.0,2.0,1.0,2.0,1930.0,50.0667821,19.9494728,1.5,43.0,0.268,0.184,0.279,0.862,0.057,0.848,0.186,brick,0,1,1,0,0,1,"[1050000, 1050000, 1050000, 1050000, 1050000, 1050000, 1050000]"
krakow,3,46.0,2.0,4.0,4.0,1920.0,50.06650925,19.95697409,1.82,30.0,0.295,0.339,0.031,0.605,0.038,0.407,0.43,brick,1,0,1,0,0,0,"[1049000, 950000, 950000, 950000, 995000, 899000, 899000]"
krakow,1,49.1,2.0,5.0,5.0,2020.0,50.051,19.945,0.67,151.0,0.161,0.463,0.328,0.373,0.011,0.535,0.154,brick,1,0,1,1,0,0,"[981951, 981951, 981951, 981951, 1104700, 1104700, 1104700]"
