city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,1,105.0,4.0,3.0,4.0,2016.0,53.43150295,14.4858204,5.06,1.0,1.08,0.949,0.623,0.791,1.054,3.062,0.335,brick,1,0,1,1,0,0,1199999
szczecin,2,81.0,4.0,4.0,4.0,1989.0,53.45416667,14.52944444,4.01,9.0,0.061,0.245,0.413,0.223,0.498,1.322,0.348,brick,1,1,0,0,0,1,729000
szczecin,2,55.04,3.0,2.0,3.0,2013.0,53.468905,14.5649832,5.07,0.0,0.826,1.701,1.089,0.742,1.008,1.129,1.052,brick,1,1,1,0,0,0,649000
szczecin,2,75.77,3.0,1.0,1.0,1895.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,1,0,0,0,0,1,499000
szczecin,2,68.94,3.0,3.0,4.0,1950.0,53.41472457,14.52963352,2.29,8.0,0.371,0.592,0.213,0.222,0.24,0.583,0.721,brick,0,0,1,0,0,1,560000
szczecin,3,58.11,3.0,1.0,3.0,1950.0,53.4466145,14.547119,2.74,15.0,0.379,0.727,0.311,0.243,0.301,1.184,0.165,brick,0,0,0,0,0,1,395000
szczecin,3,81.64,3.0,1.0,3.0,1900.0,53.4460874,14.5558096,2.55,15.0,0.091,0.597,0.625,0.247,0.222,1.441,0.026,brick,0,0,1,0,0,1,465000
szczecin,2,56.0,2.0,2.0,2.0,1930.0,53.4428215,14.5053349,4.27,8.0,0.509,0.081,0.126,0.381,0.227,1.685,0.186,brick,1,0,0,0,0,1,590000
szczecin,2,56.58,2.0,4.0,5.0,2019.0,53.43911265,14.49004444,5.01,7.0,0.65,1.122,0.248,0.316,0.221,2.711,0.258,brick,1,1,1,1,0,0,580000
szczecin,2,49.0,2.0,3.0,6.0,1950.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,0,1,0,1,0,1,444000
szczecin,3,77.71,3.0,3.0,3.0,1925.0,53.43301925,14.56977461,1.22,9.0,0.568,0.994,0.346,0.374,0.07,0.675,0.43,brick,0,0,0,0,0,1,599000
szczecin,2,79.59,3.0,1.0,3.0,2017.0,53.3951523,14.4937737,5.45,3.0,1.888,2.788,0.207,1.98,0.24,3.718,0.5,brick,1,0,1,0,0,0,839000
szczecin,1,56.0,2.0,3.0,3.0,2005.0,53.4334366008704,14.5309256423538,2.28,20.0,0.078,0.474,0.262,0.217,0.069,0.465,0.026,brick,1,1,0,0,0,0,430000
szczecin,2,46.16,3.0,10.0,11.0,1967.0,53.43778659,14.55334042,1.68,33.0,0.224,0.314,0.159,0.203,0.095,0.815,0.193,concreteSlab,1,0,0,1,0,0,515000
szczecin,1,58.23,3.0,1.0,2.0,2016.0,53.477574,14.540893,6.17,2.0,1.258,2.603,0.977,0.59,0.426,2.987,0.485,brick,1,1,1,1,0,0,699999
szczecin,3,60.0,3.0,1.0,4.0,1930.0,53.4471255,14.5525049,2.7,14.0,0.314,0.679,0.583,0.425,0.031,1.401,0.183,brick,0,1,0,0,0,1,485000
szczecin,3,80.0,4.0,3.0,3.0,1910.0,53.4317259,14.5445338,1.43,81.0,0.406,0.508,0.233,0.364,0.046,0.267,0.072,brick,0,0,0,0,0,0,430000
szczecin,2,56.0,3.0,5.0,5.0,2023.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,1,0,0,1,0,0,445000
szczecin,2,59.0,3.0,5.0,5.0,2023.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,brick,1,0,0,1,0,0,465000
szczecin,2,27.12,1.0,4.0,5.0,1980.0,53.4367354,14.5687774,1.57,17.0,0.204,0.915,0.283,0.249,0.018,0.947,0.033,concreteSlab,1,0,0,1,0,0,270000
szczecin,3,65.0,3.0,2.0,4.0,1930.0,53.4186337,14.5482692,0.99,9.0,0.36,0.338,0.312,0.623,0.385,1.112,0.377,brick,1,0,0,0,0,1,499000
szczecin,2,51.8,3.0,1.0,11.0,1980.0,53.42161413,14.52361457,2.48,6.0,0.425,0.494,0.781,1.032,0.479,0.565,0.037,concreteSlab,1,0,1,1,0,1,489999
szczecin,3,103.0,4.0,3.0,4.0,1920.0,53.42742869,14.53226104,1.95,18.0,0.202,0.558,0.103,0.581,0.049,0.776,0.079,brick,1,1,1,0,0,1,798000
szczecin,3,38.3,2.0,1.0,5.0,1940.0,53.42016,14.48711,4.91,8.0,0.232,0.572,0.459,0.734,0.275,2.949,0.3,brick,1,0,0,0,0,1,330000
szczecin,2,48.0,3.0,2.0,10.0,1970.0,53.45514268,14.4975412,5.49,10.0,0.327,1.541,0.113,0.16,0.488,2.623,0.064,concreteSlab,1,0,0,1,0,0,550000
szczecin,2,60.0,3.0,1.0,5.0,1960.0,53.43248615,14.55431345,1.1,55.0,0.206,0.285,0.098,0.215,0.066,0.599,0.031,brick,1,0,0,1,0,0,520000
szczecin,3,131.83,5.0,3.0,3.0,1930.0,53.4322324,14.5410165,1.65,75.0,0.184,0.546,0.297,0.237,0.061,0.311,0.044,brick,1,0,0,0,0,1,799000
szczecin,3,45.44,3.0,2.0,2.0,1950.0,53.444725,14.50301,4.51,6.0,0.369,0.343,0.301,0.37,0.237,1.858,0.252,brick,0,1,0,0,0,1,380000
szczecin,2,42.74,3.0,5.0,5.0,1960.0,53.4420591,14.4834826,5.54,7.0,0.958,1.5,0.431,0.267,0.166,3.132,0.389,brick,1,0,0,1,0,0,335000
szczecin,2,26.3,1.0,2.0,10.0,1980.0,53.4187193,14.5445331,1.21,9.0,0.233,0.479,0.55,0.592,0.366,0.866,0.335,concreteSlab,0,0,0,1,0,0,279000
szczecin,3,101.0,3.0,3.0,4.0,1930.0,53.4310784,14.53276289,2.05,30.0,0.26,0.621,0.302,0.463,0.209,0.644,0.186,brick,1,0,1,0,0,1,559000
szczecin,3,101.0,3.0,3.0,4.0,1930.0,53.4310784,14.53276289,2.05,30.0,0.26,0.621,0.302,0.463,0.209,0.644,0.186,brick,1,0,1,0,0,1,559000
szczecin,2,52.0,2.0,2.0,2.0,2001.0,53.4419681,14.4860282,5.38,6.0,0.877,1.332,0.264,0.368,0.058,2.963,0.268,brick,1,1,0,0,0,0,450000
szczecin,1,68.0,3.0,2.0,3.0,2001.0,53.4613134,14.5425304,4.39,3.0,0.591,0.972,0.431,0.551,0.024,2.253,0.119,brick,1,0,1,0,0,1,715000
szczecin,3,48.0,2.0,2.0,2.0,1935.0,53.4503163,14.5010526,4.97,12.0,0.208,0.956,0.122,0.577,0.215,2.16,0.094,brick,0,0,0,0,0,1,385000
